Avg Child Number;Avg Energy;Evg Life length;Number of animals;Number of free places;Number of grass;Popular genotype
0.0;19.11111;0.0;99;51;7;"[[7, 3, 4, 2, 6, 3, 3, 0, 4, 2, 5, 6, 5, 4, 1, 5, 1, 0, 3, 2, 2, 0, 4, 3, 1, 0, 0, 1, 7, 1, 7, 6, 6, 1, 4, 5, 2, 7, 5, 6, 3, 3, 6, 4, 7, 1, 5, 4, 4, 3]=1, [5, 1, 6, 6, 2, 0, 3, 4, 0, 5, 1, 0, 5, 3, 2, 3, 3, 2, 5, 0, 2, 3, 0, 2, 4, 5, 4, 1, 0, 3, 2, 2, 5, 1, 1, 5, 3, 2, 0, 3, 1, 5, 7, 5, 6, 4, 4, 0, 2, 2]=1, [5, 2, 7, 0, 7, 7, 6, 4, 1, 5, 1, 1, 0, 6, 1, 2, 4, 3, 6, 3, 6, 1, 3, 6, 3, 0, 0, 7, 1, 1, 1, 3, 7, 5, 1, 7, 5, 0, 2, 0, 0, 0, 1, 0, 6, 1, 6, 2, 0, 5]=1]"
0.0;18.818182;0.0;99;50;6;"[[7, 3, 4, 2, 6, 3, 3, 0, 4, 2, 5, 6, 5, 4, 1, 5, 1, 0, 3, 2, 2, 0, 4, 3, 1, 0, 0, 1, 7, 1, 7, 6, 6, 1, 4, 5, 2, 7, 5, 6, 3, 3, 6, 4, 7, 1, 5, 4, 4, 3]=1, [5, 1, 6, 6, 2, 0, 3, 4, 0, 5, 1, 0, 5, 3, 2, 3, 3, 2, 5, 0, 2, 3, 0, 2, 4, 5, 4, 1, 0, 3, 2, 2, 5, 1, 1, 5, 3, 2, 0, 3, 1, 5, 7, 5, 6, 4, 4, 0, 2, 2]=1, [5, 2, 7, 0, 7, 7, 6, 4, 1, 5, 1, 1, 0, 6, 1, 2, 4, 3, 6, 3, 6, 1, 3, 6, 3, 0, 0, 7, 1, 1, 1, 3, 7, 5, 1, 7, 5, 0, 2, 0, 0, 0, 1, 0, 6, 1, 6, 2, 0, 5]=1]"
0.0;18.323233;0.0;99;54;7;"[[7, 3, 4, 2, 6, 3, 3, 0, 4, 2, 5, 6, 5, 4, 1, 5, 1, 0, 3, 2, 2, 0, 4, 3, 1, 0, 0, 1, 7, 1, 7, 6, 6, 1, 4, 5, 2, 7, 5, 6, 3, 3, 6, 4, 7, 1, 5, 4, 4, 3]=1, [5, 1, 6, 6, 2, 0, 3, 4, 0, 5, 1, 0, 5, 3, 2, 3, 3, 2, 5, 0, 2, 3, 0, 2, 4, 5, 4, 1, 0, 3, 2, 2, 5, 1, 1, 5, 3, 2, 0, 3, 1, 5, 7, 5, 6, 4, 4, 0, 2, 2]=1, [5, 2, 7, 0, 7, 7, 6, 4, 1, 5, 1, 1, 0, 6, 1, 2, 4, 3, 6, 3, 6, 1, 3, 6, 3, 0, 0, 7, 1, 1, 1, 3, 7, 5, 1, 7, 5, 0, 2, 0, 0, 0, 1, 0, 6, 1, 6, 2, 0, 5]=1]"
0.0;17.525253;0.0;99;55;11;"[[7, 3, 4, 2, 6, 3, 3, 0, 4, 2, 5, 6, 5, 4, 1, 5, 1, 0, 3, 2, 2, 0, 4, 3, 1, 0, 0, 1, 7, 1, 7, 6, 6, 1, 4, 5, 2, 7, 5, 6, 3, 3, 6, 4, 7, 1, 5, 4, 4, 3]=1, [5, 1, 6, 6, 2, 0, 3, 4, 0, 5, 1, 0, 5, 3, 2, 3, 3, 2, 5, 0, 2, 3, 0, 2, 4, 5, 4, 1, 0, 3, 2, 2, 5, 1, 1, 5, 3, 2, 0, 3, 1, 5, 7, 5, 6, 4, 4, 0, 2, 2]=1, [5, 2, 7, 0, 7, 7, 6, 4, 1, 5, 1, 1, 0, 6, 1, 2, 4, 3, 6, 3, 6, 1, 3, 6, 3, 0, 0, 7, 1, 1, 1, 3, 7, 5, 1, 7, 5, 0, 2, 0, 0, 0, 1, 0, 6, 1, 6, 2, 0, 5]=1]"
0.0;17.030304;0.0;99;50;12;"[[7, 3, 4, 2, 6, 3, 3, 0, 4, 2, 5, 6, 5, 4, 1, 5, 1, 0, 3, 2, 2, 0, 4, 3, 1, 0, 0, 1, 7, 1, 7, 6, 6, 1, 4, 5, 2, 7, 5, 6, 3, 3, 6, 4, 7, 1, 5, 4, 4, 3]=1, [5, 1, 6, 6, 2, 0, 3, 4, 0, 5, 1, 0, 5, 3, 2, 3, 3, 2, 5, 0, 2, 3, 0, 2, 4, 5, 4, 1, 0, 3, 2, 2, 5, 1, 1, 5, 3, 2, 0, 3, 1, 5, 7, 5, 6, 4, 4, 0, 2, 2]=1, [5, 2, 7, 0, 7, 7, 6, 4, 1, 5, 1, 1, 0, 6, 1, 2, 4, 3, 6, 3, 6, 1, 3, 6, 3, 0, 0, 7, 1, 1, 1, 3, 7, 5, 1, 7, 5, 0, 2, 0, 0, 0, 1, 0, 6, 1, 6, 2, 0, 5]=1]"
0.0;16.737373;0.0;99;56;11;"[[7, 3, 4, 2, 6, 3, 3, 0, 4, 2, 5, 6, 5, 4, 1, 5, 1, 0, 3, 2, 2, 0, 4, 3, 1, 0, 0, 1, 7, 1, 7, 6, 6, 1, 4, 5, 2, 7, 5, 6, 3, 3, 6, 4, 7, 1, 5, 4, 4, 3]=1, [5, 1, 6, 6, 2, 0, 3, 4, 0, 5, 1, 0, 5, 3, 2, 3, 3, 2, 5, 0, 2, 3, 0, 2, 4, 5, 4, 1, 0, 3, 2, 2, 5, 1, 1, 5, 3, 2, 0, 3, 1, 5, 7, 5, 6, 4, 4, 0, 2, 2]=1, [5, 2, 7, 0, 7, 7, 6, 4, 1, 5, 1, 1, 0, 6, 1, 2, 4, 3, 6, 3, 6, 1, 3, 6, 3, 0, 0, 7, 1, 1, 1, 3, 7, 5, 1, 7, 5, 0, 2, 0, 0, 0, 1, 0, 6, 1, 6, 2, 0, 5]=1]"
0.0;16.343435;0.0;99;53;11;"[[7, 3, 4, 2, 6, 3, 3, 0, 4, 2, 5, 6, 5, 4, 1, 5, 1, 0, 3, 2, 2, 0, 4, 3, 1, 0, 0, 1, 7, 1, 7, 6, 6, 1, 4, 5, 2, 7, 5, 6, 3, 3, 6, 4, 7, 1, 5, 4, 4, 3]=1, [5, 1, 6, 6, 2, 0, 3, 4, 0, 5, 1, 0, 5, 3, 2, 3, 3, 2, 5, 0, 2, 3, 0, 2, 4, 5, 4, 1, 0, 3, 2, 2, 5, 1, 1, 5, 3, 2, 0, 3, 1, 5, 7, 5, 6, 4, 4, 0, 2, 2]=1, [5, 2, 7, 0, 7, 7, 6, 4, 1, 5, 1, 1, 0, 6, 1, 2, 4, 3, 6, 3, 6, 1, 3, 6, 3, 0, 0, 7, 1, 1, 1, 3, 7, 5, 1, 7, 5, 0, 2, 0, 0, 0, 1, 0, 6, 1, 6, 2, 0, 5]=1]"
0.0;16.151516;0.0;99;59;9;"[[7, 3, 4, 2, 6, 3, 3, 0, 4, 2, 5, 6, 5, 4, 1, 5, 1, 0, 3, 2, 2, 0, 4, 3, 1, 0, 0, 1, 7, 1, 7, 6, 6, 1, 4, 5, 2, 7, 5, 6, 3, 3, 6, 4, 7, 1, 5, 4, 4, 3]=1, [5, 1, 6, 6, 2, 0, 3, 4, 0, 5, 1, 0, 5, 3, 2, 3, 3, 2, 5, 0, 2, 3, 0, 2, 4, 5, 4, 1, 0, 3, 2, 2, 5, 1, 1, 5, 3, 2, 0, 3, 1, 5, 7, 5, 6, 4, 4, 0, 2, 2]=1, [5, 2, 7, 0, 7, 7, 6, 4, 1, 5, 1, 1, 0, 6, 1, 2, 4, 3, 6, 3, 6, 1, 3, 6, 3, 0, 0, 7, 1, 1, 1, 3, 7, 5, 1, 7, 5, 0, 2, 0, 0, 0, 1, 0, 6, 1, 6, 2, 0, 5]=1]"
0.0;15.757576;0.0;99;55;9;"[[7, 3, 4, 2, 6, 3, 3, 0, 4, 2, 5, 6, 5, 4, 1, 5, 1, 0, 3, 2, 2, 0, 4, 3, 1, 0, 0, 1, 7, 1, 7, 6, 6, 1, 4, 5, 2, 7, 5, 6, 3, 3, 6, 4, 7, 1, 5, 4, 4, 3]=1, [5, 1, 6, 6, 2, 0, 3, 4, 0, 5, 1, 0, 5, 3, 2, 3, 3, 2, 5, 0, 2, 3, 0, 2, 4, 5, 4, 1, 0, 3, 2, 2, 5, 1, 1, 5, 3, 2, 0, 3, 1, 5, 7, 5, 6, 4, 4, 0, 2, 2]=1, [5, 2, 7, 0, 7, 7, 6, 4, 1, 5, 1, 1, 0, 6, 1, 2, 4, 3, 6, 3, 6, 1, 3, 6, 3, 0, 0, 7, 1, 1, 1, 3, 7, 5, 1, 7, 5, 0, 2, 0, 0, 0, 1, 0, 6, 1, 6, 2, 0, 5]=1]"
0.0;15.363636;0.0;99;54;9;"[[7, 3, 4, 2, 6, 3, 3, 0, 4, 2, 5, 6, 5, 4, 1, 5, 1, 0, 3, 2, 2, 0, 4, 3, 1, 0, 0, 1, 7, 1, 7, 6, 6, 1, 4, 5, 2, 7, 5, 6, 3, 3, 6, 4, 7, 1, 5, 4, 4, 3]=1, [5, 1, 6, 6, 2, 0, 3, 4, 0, 5, 1, 0, 5, 3, 2, 3, 3, 2, 5, 0, 2, 3, 0, 2, 4, 5, 4, 1, 0, 3, 2, 2, 5, 1, 1, 5, 3, 2, 0, 3, 1, 5, 7, 5, 6, 4, 4, 0, 2, 2]=1, [5, 2, 7, 0, 7, 7, 6, 4, 1, 5, 1, 1, 0, 6, 1, 2, 4, 3, 6, 3, 6, 1, 3, 6, 3, 0, 0, 7, 1, 1, 1, 3, 7, 5, 1, 7, 5, 0, 2, 0, 0, 0, 1, 0, 6, 1, 6, 2, 0, 5]=1]"
0.0;15.070707;0.0;99;44;8;"[[7, 3, 4, 2, 6, 3, 3, 0, 4, 2, 5, 6, 5, 4, 1, 5, 1, 0, 3, 2, 2, 0, 4, 3, 1, 0, 0, 1, 7, 1, 7, 6, 6, 1, 4, 5, 2, 7, 5, 6, 3, 3, 6, 4, 7, 1, 5, 4, 4, 3]=1, [5, 1, 6, 6, 2, 0, 3, 4, 0, 5, 1, 0, 5, 3, 2, 3, 3, 2, 5, 0, 2, 3, 0, 2, 4, 5, 4, 1, 0, 3, 2, 2, 5, 1, 1, 5, 3, 2, 0, 3, 1, 5, 7, 5, 6, 4, 4, 0, 2, 2]=1, [5, 2, 7, 0, 7, 7, 6, 4, 1, 5, 1, 1, 0, 6, 1, 2, 4, 3, 6, 3, 6, 1, 3, 6, 3, 0, 0, 7, 1, 1, 1, 3, 7, 5, 1, 7, 5, 0, 2, 0, 0, 0, 1, 0, 6, 1, 6, 2, 0, 5]=1]"
0.0;14.575758;0.0;99;54;9;"[[7, 3, 4, 2, 6, 3, 3, 0, 4, 2, 5, 6, 5, 4, 1, 5, 1, 0, 3, 2, 2, 0, 4, 3, 1, 0, 0, 1, 7, 1, 7, 6, 6, 1, 4, 5, 2, 7, 5, 6, 3, 3, 6, 4, 7, 1, 5, 4, 4, 3]=1, [5, 1, 6, 6, 2, 0, 3, 4, 0, 5, 1, 0, 5, 3, 2, 3, 3, 2, 5, 0, 2, 3, 0, 2, 4, 5, 4, 1, 0, 3, 2, 2, 5, 1, 1, 5, 3, 2, 0, 3, 1, 5, 7, 5, 6, 4, 4, 0, 2, 2]=1, [5, 2, 7, 0, 7, 7, 6, 4, 1, 5, 1, 1, 0, 6, 1, 2, 4, 3, 6, 3, 6, 1, 3, 6, 3, 0, 0, 7, 1, 1, 1, 3, 7, 5, 1, 7, 5, 0, 2, 0, 0, 0, 1, 0, 6, 1, 6, 2, 0, 5]=1]"
0.0;14.181818;0.0;99;53;9;"[[7, 3, 4, 2, 6, 3, 3, 0, 4, 2, 5, 6, 5, 4, 1, 5, 1, 0, 3, 2, 2, 0, 4, 3, 1, 0, 0, 1, 7, 1, 7, 6, 6, 1, 4, 5, 2, 7, 5, 6, 3, 3, 6, 4, 7, 1, 5, 4, 4, 3]=1, [5, 1, 6, 6, 2, 0, 3, 4, 0, 5, 1, 0, 5, 3, 2, 3, 3, 2, 5, 0, 2, 3, 0, 2, 4, 5, 4, 1, 0, 3, 2, 2, 5, 1, 1, 5, 3, 2, 0, 3, 1, 5, 7, 5, 6, 4, 4, 0, 2, 2]=1, [5, 2, 7, 0, 7, 7, 6, 4, 1, 5, 1, 1, 0, 6, 1, 2, 4, 3, 6, 3, 6, 1, 3, 6, 3, 0, 0, 7, 1, 1, 1, 3, 7, 5, 1, 7, 5, 0, 2, 0, 0, 0, 1, 0, 6, 1, 6, 2, 0, 5]=1]"
0.0;13.888889;0.0;99;56;8;"[[7, 3, 4, 2, 6, 3, 3, 0, 4, 2, 5, 6, 5, 4, 1, 5, 1, 0, 3, 2, 2, 0, 4, 3, 1, 0, 0, 1, 7, 1, 7, 6, 6, 1, 4, 5, 2, 7, 5, 6, 3, 3, 6, 4, 7, 1, 5, 4, 4, 3]=1, [5, 1, 6, 6, 2, 0, 3, 4, 0, 5, 1, 0, 5, 3, 2, 3, 3, 2, 5, 0, 2, 3, 0, 2, 4, 5, 4, 1, 0, 3, 2, 2, 5, 1, 1, 5, 3, 2, 0, 3, 1, 5, 7, 5, 6, 4, 4, 0, 2, 2]=1, [5, 2, 7, 0, 7, 7, 6, 4, 1, 5, 1, 1, 0, 6, 1, 2, 4, 3, 6, 3, 6, 1, 3, 6, 3, 0, 0, 7, 1, 1, 1, 3, 7, 5, 1, 7, 5, 0, 2, 0, 0, 0, 1, 0, 6, 1, 6, 2, 0, 5]=1]"
0.0;13.393939;0.0;99;54;9;"[[7, 3, 4, 2, 6, 3, 3, 0, 4, 2, 5, 6, 5, 4, 1, 5, 1, 0, 3, 2, 2, 0, 4, 3, 1, 0, 0, 1, 7, 1, 7, 6, 6, 1, 4, 5, 2, 7, 5, 6, 3, 3, 6, 4, 7, 1, 5, 4, 4, 3]=1, [5, 1, 6, 6, 2, 0, 3, 4, 0, 5, 1, 0, 5, 3, 2, 3, 3, 2, 5, 0, 2, 3, 0, 2, 4, 5, 4, 1, 0, 3, 2, 2, 5, 1, 1, 5, 3, 2, 0, 3, 1, 5, 7, 5, 6, 4, 4, 0, 2, 2]=1, [5, 2, 7, 0, 7, 7, 6, 4, 1, 5, 1, 1, 0, 6, 1, 2, 4, 3, 6, 3, 6, 1, 3, 6, 3, 0, 0, 7, 1, 1, 1, 3, 7, 5, 1, 7, 5, 0, 2, 0, 0, 0, 1, 0, 6, 1, 6, 2, 0, 5]=1]"
0.0;12.59596;0.0;99;52;13;"[[7, 3, 4, 2, 6, 3, 3, 0, 4, 2, 5, 6, 5, 4, 1, 5, 1, 0, 3, 2, 2, 0, 4, 3, 1, 0, 0, 1, 7, 1, 7, 6, 6, 1, 4, 5, 2, 7, 5, 6, 3, 3, 6, 4, 7, 1, 5, 4, 4, 3]=1, [5, 1, 6, 6, 2, 0, 3, 4, 0, 5, 1, 0, 5, 3, 2, 3, 3, 2, 5, 0, 2, 3, 0, 2, 4, 5, 4, 1, 0, 3, 2, 2, 5, 1, 1, 5, 3, 2, 0, 3, 1, 5, 7, 5, 6, 4, 4, 0, 2, 2]=1, [5, 2, 7, 0, 7, 7, 6, 4, 1, 5, 1, 1, 0, 6, 1, 2, 4, 3, 6, 3, 6, 1, 3, 6, 3, 0, 0, 7, 1, 1, 1, 3, 7, 5, 1, 7, 5, 0, 2, 0, 0, 0, 1, 0, 6, 1, 6, 2, 0, 5]=1]"
0.0;12.30303;0.0;99;59;12;"[[7, 3, 4, 2, 6, 3, 3, 0, 4, 2, 5, 6, 5, 4, 1, 5, 1, 0, 3, 2, 2, 0, 4, 3, 1, 0, 0, 1, 7, 1, 7, 6, 6, 1, 4, 5, 2, 7, 5, 6, 3, 3, 6, 4, 7, 1, 5, 4, 4, 3]=1, [5, 1, 6, 6, 2, 0, 3, 4, 0, 5, 1, 0, 5, 3, 2, 3, 3, 2, 5, 0, 2, 3, 0, 2, 4, 5, 4, 1, 0, 3, 2, 2, 5, 1, 1, 5, 3, 2, 0, 3, 1, 5, 7, 5, 6, 4, 4, 0, 2, 2]=1, [5, 2, 7, 0, 7, 7, 6, 4, 1, 5, 1, 1, 0, 6, 1, 2, 4, 3, 6, 3, 6, 1, 3, 6, 3, 0, 0, 7, 1, 1, 1, 3, 7, 5, 1, 7, 5, 0, 2, 0, 0, 0, 1, 0, 6, 1, 6, 2, 0, 5]=1]"
0.0;11.909091;0.0;99;58;12;"[[7, 3, 4, 2, 6, 3, 3, 0, 4, 2, 5, 6, 5, 4, 1, 5, 1, 0, 3, 2, 2, 0, 4, 3, 1, 0, 0, 1, 7, 1, 7, 6, 6, 1, 4, 5, 2, 7, 5, 6, 3, 3, 6, 4, 7, 1, 5, 4, 4, 3]=1, [5, 1, 6, 6, 2, 0, 3, 4, 0, 5, 1, 0, 5, 3, 2, 3, 3, 2, 5, 0, 2, 3, 0, 2, 4, 5, 4, 1, 0, 3, 2, 2, 5, 1, 1, 5, 3, 2, 0, 3, 1, 5, 7, 5, 6, 4, 4, 0, 2, 2]=1, [5, 2, 7, 0, 7, 7, 6, 4, 1, 5, 1, 1, 0, 6, 1, 2, 4, 3, 6, 3, 6, 1, 3, 6, 3, 0, 0, 7, 1, 1, 1, 3, 7, 5, 1, 7, 5, 0, 2, 0, 0, 0, 1, 0, 6, 1, 6, 2, 0, 5]=1]"
